ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,50,229,122,47,78,315,80,79,104
0007CB0942,50,0,91,51,24,20,69,45,21,22
0007CB44CE,229,91,0,109,105,72,244,104,59,94
0007CB7051,122,51,109,0,43,52,95,54,25,137
0007CD6778,47,24,105,43,0,16,67,15,32,36
0007CD765E,78,20,72,52,16,0,81,27,32,27
0007CD77C5,315,69,244,95,67,81,0,118,71,104
0007CDADED,80,45,104,54,15,27,118,0,57,33
0007CDC443,79,21,59,25,32,32,71,57,0,37
0007CDDBAF,104,22,94,137,36,27,104,33,37,0
